,City Name,Country,Cloudiness,Lat,Long,Humidity,Windspeed,Temperature
0,Tuban,ID,100,-6.8976,112.0649,80,1.72,299.17
1,Lompoc,US,1,34.6391,-120.4579,49,2.39,280.95
2,New Norfolk,AU,100,-42.7826,147.0587,72,0.45,287.71
3,Butaritari,KI,44,3.0707,172.7902,82,4.44,300.01
4,Qaanaaq,GL,100,77.484,-69.3632,88,0.71,257.12
5,Morristown,US,40,36.214,-83.2949,100,2.06,286.27
6,Yangi Marg`ilon,UZ,0,40.4272,71.7189,36,2.06,279.15
7,Kushmurun,KZ,100,52.4503,64.6311,97,3.97,273.39
8,Fairbanks,US,90,64.8378,-147.7164,85,3.6,254.63
9,Port Alfred,ZA,7,-33.5906,26.891,83,4.02,297.04
10,Busselton,AU,100,-33.65,115.3333,73,1.79,292.18
11,City of San Pedro,PH,40,14.35,121.0167,74,2.57,300.79
12,Sørland,NO,90,67.667,12.6934,93,8.75,280.15
13,Eureka,US,28,40.8021,-124.1637,95,1.89,275.62
14,Barrow,US,90,71.2906,-156.7887,77,4.63,251.15
15,Takoradze,GH,67,4.8845,-1.7554,75,4.8,301.64
16,Altay,CN,26,47.8667,88.1167,77,2.18,257.3
17,Dikson,RU,100,73.5069,80.5464,92,9.29,246.33
18,Ponta do Sol,PT,9,32.6667,-17.1,59,3.58,288.65
19,Coquimbo,CL,90,-29.9533,-71.3436,94,1.54,289.15
20,Atuona,PF,18,-9.8,-139.0333,81,8.28,299.48
21,Rikitea,PF,92,-23.1203,-134.9692,70,3.71,298.34
22,Emba,KZ,94,48.8264,58.1442,97,7.33,271.26
23,Carnarvon,AU,100,-24.8667,113.6333,73,3.6,297.15
24,Thompson,CA,90,55.7435,-97.8558,77,5.66,250.15
25,Hofn,IS,75,64.2539,-15.2082,60,9.77,278.15
26,Salinas,US,1,36.6777,-121.6555,81,1.54,277.51
27,Nāzirā,IN,44,26.9167,94.7333,56,2.43,294.38
28,Ushuaia,AR,75,-54.8,-68.3,88,4.12,286.15
29,Punta Arenas,CL,75,-53.15,-70.9167,72,4.12,288.92
30,Marsá Maţrūḩ,EG,40,31.3525,27.2453,63,7.72,291.15
31,Hobart,AU,90,-42.8794,147.3294,72,1.54,288.71
32,Bredasdorp,ZA,0,-34.5322,20.0403,54,12.86,301.15
33,Paamiut,GL,100,61.994,-49.6678,77,7.98,269.46
34,Ambanja,MG,40,-13.6833,48.45,83,1.03,305.15
35,Hermanus,ZA,0,-34.4187,19.2345,55,4.02,303.15
36,Raton,US,1,36.9034,-104.4391,49,2.57,265.29
37,Hilo,US,90,19.7297,-155.09,88,1.51,291.38
38,Cabo San Lucas,MX,75,22.8909,-109.9124,32,3.6,293.15
39,Manzhouli,CN,0,49.6,117.4333,82,3.11,251.51
40,Kismayo,SO,42,-0.3582,42.5454,75,8.27,300.34
41,Mataura,NZ,91,-46.1927,168.8643,95,0.48,288.71
42,Luxor,EG,0,25.6989,32.6421,27,6.17,298.15
43,Bethel,US,1,41.3712,-73.414,80,2.36,275.35
44,Birjand,IR,0,32.8663,59.2211,13,2.06,285.15
45,Nikolskoye,RU,90,59.7035,30.7861,93,4.0,274.73
46,Petropavlovsk-Kamchatskiy,RU,58,53.0452,158.6483,54,5.0,268.15
47,Kamaishi,JP,0,39.2667,141.8833,56,4.96,277.7
48,Tiksi,RU,99,71.6872,128.8694,85,1.33,238.41
49,Bluff,NZ,34,-46.6,168.3333,95,3.02,288.71
50,Plátanos,GR,20,37.6667,21.6167,52,2.57,287.37
51,Yellowknife,CA,1,62.456,-114.3525,66,2.06,232.66
52,Hobyo,SO,99,5.3505,48.5268,72,8.46,299.51
53,Kapaa,US,90,22.0752,-159.319,78,9.26,294.96
54,East London,ZA,20,-33.0153,27.9116,69,10.29,298.15
55,Cidreira,BR,83,-30.1811,-50.2056,74,8.25,297.76
56,Chamba,IN,9,32.5667,76.1333,36,1.09,287.15
57,Buala,SB,100,-8.145,159.5921,85,4.43,298.55
58,Upington,ZA,40,-28.4478,21.2561,22,4.12,307.15
59,Anloga,GH,20,5.7947,0.8973,58,4.63,306.15
60,Souillac,MU,40,-20.5167,57.5167,74,4.12,300.15
61,Firozpur,IN,0,30.9167,74.6,46,2.69,296.15
62,Torres,BR,86,-29.3353,-49.7269,88,5.57,296.74
63,Darhan,MN,0,49.4867,105.9228,86,1.3,253.23
64,Albany,US,100,42.6001,-73.9662,67,1.75,274.52
65,Verāval,IN,0,20.9,70.3667,72,6.12,298.42
66,Jamestown,US,40,42.097,-79.2353,77,4.9,275.21
67,Fortuna,US,75,40.5982,-124.1573,93,2.57,275.98
68,Nirmāli,IN,0,26.3167,86.5833,27,3.03,297.59
69,Mayahi,NE,0,13.9553,7.6712,9,6.6,308.56
70,Chokurdakh,RU,0,70.6333,147.9167,86,0.89,239.3
71,Knysna,ZA,40,-34.0363,23.0471,73,7.2,298.15
72,Ust-Tsilma,RU,90,65.441,52.1498,96,2.02,260.44
73,Yar-Sale,RU,52,66.8333,70.8333,88,5.23,247.84
74,Port Hedland,AU,0,-20.3167,118.5667,83,5.14,301.15
75,Bandarbeyla,SO,77,9.4942,50.8122,69,6.29,298.9
76,Acri,IT,1,39.4929,16.3838,72,3.6,288.44
77,Mujiayingzi,CN,100,42.1167,118.7833,80,3.69,264.45
78,Havre-St-Pierre,CA,1,50.2334,-63.5986,86,4.12,269.15
79,Mora,CM,0,11.0461,14.1401,9,4.12,310.15
80,Novovelichkovskaya,RU,100,45.2778,38.8436,90,0.89,277.22
81,Olafsvik,IS,100,64.8945,-23.7142,76,18.57,276.51
82,Broome,US,1,42.2506,-75.833,93,2.57,272.26
83,Severo-Kuril'sk,RU,98,50.6789,156.125,80,12.51,268.37
84,Galveston,US,90,29.3669,-94.9669,94,2.57,292.45
85,Tuktoyaktuk,CA,3,69.4541,-133.0374,91,3.9,238.46
86,Sète,FR,0,43.4018,3.6966,72,3.09,287.03
87,Yalutorovsk,RU,100,56.6536,66.3006,93,4.35,256.68
88,Rundu,NA,20,-17.9333,19.7667,55,4.11,299.74
89,San Juan,AR,0,-31.5375,-68.5364,38,4.68,302.83
90,Walvis Bay,NA,9,-22.9575,14.5053,83,4.02,292.59
91,Bengkulu,ID,100,-3.8004,102.2655,80,1.59,299.37
92,Puerto Baquerizo Moreno,EC,87,-0.9,-89.6,82,1.47,298.45
93,Longyearbyen,SJ,20,78.2186,15.6401,62,9.26,263.15
94,São Cristóvão,BR,75,-11.0147,-37.2064,65,4.12,302.15
95,Port-Gentil,GA,40,-0.7193,8.7815,66,4.63,305.15
96,Leningradskiy,RU,89,69.3833,178.4167,87,1.56,246.1
97,Avarua,CK,20,-21.2078,-159.775,88,1.54,298.15
98,Talnakh,RU,3,69.4865,88.3972,79,3.5,237.08
99,Watertown,US,75,42.3709,-71.1828,75,2.57,275.58
100,Vaini,TO,75,-21.2,-175.2,94,1.54,295.15
101,Neuquén,AR,0,-38.9516,-68.0591,46,2.57,297.15
102,Lagos,NG,40,6.5833,3.75,52,3.09,306.15
103,Haukipudas,FI,0,65.1765,25.3523,75,3.09,276.15
104,Kenai,US,90,60.5544,-151.2583,86,0.94,269.15
105,Mar del Plata,AR,75,-38.0023,-57.5575,78,7.72,296.85
106,Sinnamary,GF,92,5.3833,-52.95,83,5.63,298.91
107,Ixtapa,MX,90,20.7,-105.2,94,2.06,292.15
108,Moanda,GA,40,-1.5575,13.2178,62,2.06,306.15
109,Lachi,PK,20,33.3833,71.3386,33,3.09,295.15
110,Port Hardy,CA,90,50.6996,-127.4199,93,8.75,277.54
111,Spas-Demensk,RU,100,54.4122,34.0226,97,1.77,273.17
112,Lodwar,KE,10,3.1191,35.5973,19,7.83,310.24
113,Burgeo,CA,100,47.6167,-57.6152,92,7.04,275.34
114,Cape Town,ZA,0,-33.9258,18.4232,42,5.66,306.16
115,Ponot,PH,58,8.452,123.0222,83,5.89,300.03
116,Kavaratti,IN,0,10.5669,72.642,67,0.95,301.58
117,Haines Junction,CA,100,60.7522,-137.5108,93,0.51,269.15
118,Alofi,NU,100,-19.0595,-169.9187,83,8.75,298.15
119,Arrondissement de Rodez,FR,75,44.5,2.5833,50,11.83,286.05
120,Pangnirtung,CA,100,66.1451,-65.7125,78,0.98,238.0
121,Calvinia,ZA,44,-31.4707,19.776,10,5.2,308.48
122,Gijang,KR,0,35.2442,129.2139,66,1.03,284.15
123,Lebu,CL,0,-37.6167,-73.65,71,7.22,289.9
124,San Patricio,US,90,28.017,-97.5169,100,6.17,293.97
125,Liverpool,GB,0,53.4106,-2.9779,66,2.06,285.46
126,Lastoursville,GA,42,-0.8143,12.7287,38,2.22,308.59
127,Faanui,PF,100,-16.4833,-151.75,74,3.76,301.29
128,Okhotsk,RU,91,59.3833,143.3,84,4.48,254.3
129,Makakilo City,US,1,21.3469,-158.0858,73,3.6,294.61
130,Cockburn Town,TC,37,21.4612,-71.1419,77,12.09,298.21
131,Ahipara,NZ,38,-35.1667,173.1667,89,2.8,290.15
132,Geraldton,AU,100,-28.7667,114.6,73,8.23,297.15
133,Vila Velha,BR,40,-20.3297,-40.2925,74,1.03,301.11
134,Upernavik,GL,0,72.7868,-56.1549,81,2.69,255.76
135,Cayenne,GF,75,4.9333,-52.3333,74,5.66,301.15
136,Dingle,PH,7,10.9995,122.6711,87,3.27,298.2
137,Teeli,RU,100,51.0333,90.2333,87,0.38,250.24
138,Thanh Hoa,VN,99,19.8,105.7667,92,3.05,295.72
139,Ayan,RU,100,56.45,138.1667,76,3.84,256.48
140,Adrar,MR,0,20.5022,-10.0711,17,2.73,298.12
141,Ostrovnoy,RU,100,68.0531,39.5131,96,8.21,271.05
142,Chui,UY,68,-33.6971,-53.4616,64,5.84,298.28
143,Charagua,BO,75,-19.8,-63.2167,88,1.24,297.15
144,Puerto Ayora,EC,43,-0.7393,-90.3518,89,0.31,300.37
145,Doha,QA,0,25.2867,51.5333,46,4.63,294.73
146,Poya,NC,41,-21.35,165.15,85,1.84,297.05
147,Kieta,PG,100,-6.2167,155.6333,87,5.05,298.31
148,Moskovskiy,RU,75,55.5991,37.355,80,3.0,274.48
149,Ogdensburg,US,90,44.6942,-75.4863,100,2.11,273.29
150,San Cristobal,VE,75,7.7669,-72.225,100,1.03,296.15
151,Hithadhoo,MV,13,-0.6,73.0833,61,2.57,301.46
152,Saint Paul Harbor,US,90,57.79,-152.4072,59,14.92,272.15
153,Vestmannaeyjar,IS,20,63.4427,-20.2734,75,13.89,277.15
154,Merrill,US,75,45.1805,-89.6835,86,3.09,273.75
155,Mogadishu,SO,100,2.0371,45.3438,74,11.33,299.84
156,Khatanga,RU,100,71.9667,102.5,86,0.94,239.65
157,Vao,NC,0,-22.6667,167.4833,74,6.26,298.36
158,Fort Dodge,US,90,42.4975,-94.168,100,3.6,274.15
159,Kita,ML,94,13.0349,-9.4895,5,1.22,312.32
160,Guerrero Negro,MX,2,27.9769,-114.0611,88,3.16,284.71
161,Clyde River,CA,90,70.4692,-68.5914,68,1.54,240.15
162,Ribeira Grande,PT,75,38.5167,-28.7,100,8.23,286.15
163,Torfyanoy,RU,100,58.4916,49.1979,94,2.41,257.53
164,Acapulco de Juárez,MX,20,16.8634,-99.8901,88,1.71,296.15
165,Moose Factory,CA,90,51.2585,-80.6094,77,3.09,250.15
166,Flinders,AU,90,-34.5833,150.8552,86,0.85,293.71
167,Nome,US,1,64.5011,-165.4064,64,2.57,247.15
168,Krasnyy Luch,UA,100,48.1395,38.9371,84,2.39,274.95
169,Del Rio,US,90,29.3627,-100.8968,83,3.09,295.15
170,Te Anau,NZ,99,-45.4167,167.7167,91,0.07,287.36
171,San Policarpo,PH,41,12.1791,125.5072,80,4.12,299.24
172,Saint-Augustin,CA,100,51.226,-58.6502,97,3.66,271.68
173,Matagami,CA,90,49.7502,-77.6328,84,3.6,251.15
174,Taoudenni,ML,0,22.6783,-3.9836,12,3.17,302.98
175,Salalah,OM,0,17.0151,54.0924,54,5.14,301.15
176,Esperance,AU,100,-33.8667,121.9,72,6.69,291.15
177,Luang Prabang,LA,0,19.8856,102.1347,43,0.51,296.53
178,Kanye,BW,76,-24.9667,25.3327,44,2.73,296.39
179,Contai,IN,0,21.7786,87.7536,79,6.13,297.78
180,Litovko,RU,0,49.2361,135.1742,74,8.39,257.63
181,Mandalgovi,MN,0,45.7625,106.2708,39,4.19,261.38
182,Yulara,AU,0,-25.2406,130.9889,23,2.37,301.15
183,Port Elizabeth,ZA,0,-33.918,25.5701,69,10.29,299.15
184,Calvià,ES,6,39.5657,2.5062,52,0.89,288.64
185,Kudahuvadhoo,MV,97,2.6708,72.8944,64,2.4,300.94
186,Nantucket,US,100,41.2835,-70.0995,82,2.87,278.15
187,Tura,IN,0,25.5198,90.2201,29,0.31,294.36
188,Ajijic,MX,1,20.3,-103.2833,66,1.54,285.59
189,Khalkhāl,IR,0,37.6189,48.5258,64,2.71,277.61
190,Acajutla,SV,0,13.5928,-89.8275,83,2.67,294.15
191,Praia,CV,20,14.9215,-23.5087,49,10.8,296.15
192,Mount Isa,AU,75,-20.7333,139.5,39,0.51,302.15
193,Marsh Harbour,BS,0,26.5412,-77.0636,75,9.04,297.61
194,Aban,RU,100,56.67,96.06,92,1.45,252.69
195,Arraial do Cabo,BR,40,-22.9661,-42.0278,65,7.72,301.15
196,Khani,GE,90,41.9563,42.9566,87,4.12,282.15
197,Talcahuano,CL,0,-36.7167,-73.1167,77,4.12,288.15
198,San Jerónimo,PE,87,-11.9472,-75.2829,67,2.33,284.56
199,Waipawa,NZ,40,-41.4122,175.5153,82,4.12,290.89
200,Pangody,RU,1,65.85,74.4859,96,4.67,245.61
201,George Town,MY,20,5.4112,100.3354,70,3.09,302.21
202,Sterling,US,90,39.0062,-77.4286,87,2.06,280.31
203,Belmonte,BR,75,-15.8631,-38.8828,69,2.57,301.15
204,Caravelas,BR,99,-17.7125,-39.2481,72,3.09,300.55
205,Abapó,BO,8,-18.8333,-63.4667,43,1.41,302.94
206,São João da Barra,BR,20,-21.6403,-41.0511,74,2.06,300.15
